case,T,J,value
baseline,T2938,HOB_elec,0.03562121212121212
baseline,T2938,HOB_gasoil,0.2589902912621359
baseline,T2938,HOB_muniwaste,0.14488636363636362
baseline,T2938,HOB_natgas,0.1974757281553398
baseline,T2938,HP_ambient,0.013342792281498298
baseline,T2938,HP_industry,0.011581280788177339
baseline,T2938,HR_S-near,0.010938275434243175
baseline,T2938,HR_S-far,0.010938275434243175
baseline,T2938,HR_M-near,0.00976058676999723
baseline,T2938,HR_M-far,0.00976058676999723
baseline,T2938,HR_L-near,0.00882066033016508
baseline,T2938,HR_L-far,0.00882066033016508
baseline,T3058,CHP_coal,0.5880362264150943
baseline,T3058,CHP_muniwaste,0.19480901077375123
baseline,T3058,CHP_natgas,0.5510247349823321
baseline,T3058,HOB_elec,0.020263636363636366
baseline,T3058,HOB_gasoil,0.2589902912621359
baseline,T3058,HOB_muniwaste,0.14488636363636362
baseline,T3058,HOB_natgas,0.1974757281553398
baseline,T3058,HP_ambient,0.007263215061549601
baseline,T3058,HP_industry,0.006588177339901477
baseline,T3058,HR_S-near,0.006222394540942928
baseline,T3058,HR_S-far,0.006222394540942928
baseline,T3058,HR_M-near,0.005552449487960144
baseline,T3058,HR_M-far,0.005552449487960144
baseline,T3058,HR_L-near,0.005017758879439719
baseline,T3058,HR_L-far,0.005017758879439719
baseline,T3178,CHP_coal,0.5880362264150943
baseline,T3178,CHP_muniwaste,0.19480901077375123
baseline,T3178,CHP_natgas,0.5510247349823321
baseline,T3178,HOB_elec,0.02823737373737374
baseline,T3178,HOB_gasoil,0.2589902912621359
baseline,T3178,HOB_muniwaste,0.14488636363636362
baseline,T3178,HOB_natgas,0.1974757281553398
baseline,T3178,HP_ambient,0.009346372450685389
baseline,T3178,HP_industry,0.00909401431359792
baseline,T3178,HR_S-near,0.008583051888240713
baseline,T3178,HR_S-far,0.008583051888240713
baseline,T3178,HR_M-near,0.007658904109589041
baseline,T3178,HR_M-far,0.007658904109589041
baseline,T3178,HR_L-near,0.006921267640505076
baseline,T3178,HR_L-far,0.006921267640505076
baseline,T3298,CHP_coal,0.5880362264150943
baseline,T3298,CHP_muniwaste,0.19480901077375123
baseline,T3298,CHP_natgas,0.5510247349823321
baseline,T3298,HOB_elec,0.027996969696969697
baseline,T3298,HOB_gasoil,0.2589902912621359
baseline,T3298,HOB_muniwaste,0.14488636363636362
baseline,T3298,HOB_natgas,0.1974757281553398
baseline,T3298,HP_ambient,0.01048694665153235
baseline,T3298,HP_industry,0.009016590761223162
baseline,T3298,HR_S-near,0.00850997850782929
baseline,T3298,HR_S-far,0.00850997850782929
baseline,T3298,HR_M-near,0.007593698630136985
baseline,T3298,HR_M-far,0.007593698630136985
baseline,T3298,HR_L-near,0.006862342163901957
baseline,T3298,HR_L-far,0.006862342163901957
baseline,T3418,CHP_coal,0.5880362264150943
baseline,T3418,CHP_muniwaste,0.19480901077375123
baseline,T3418,CHP_natgas,0.5510247349823321
baseline,T3418,HOB_elec,0.07631616161616162
baseline,T3418,HOB_gasoil,0.2589902912621359
baseline,T3418,HOB_muniwaste,0.14488636363636362
baseline,T3418,HOB_natgas,0.1974757281553398
baseline,T3418,HP_ambient,0.026352633414719218
baseline,T3418,HP_industry,0.02434052835051546
baseline,T3418,HR_S-near,0.02295745973868125
baseline,T3418,HR_S-far,0.02295745973868125
baseline,T3418,HR_M-near,0.020491727691890425
baseline,T3418,HR_M-far,0.020491727691890425
baseline,T3418,HR_L-near,0.018517892156862743
baseline,T3418,HR_L-far,0.018517892156862743
baseline,T3538,CHP_coal,0.5880362264150943
baseline,T3538,CHP_muniwaste,0.19480901077375123
baseline,T3538,CHP_natgas,0.5510247349823321
baseline,T3538,HOB_elec,0.07721616161616161
baseline,T3538,HOB_gasoil,0.2589902912621359
baseline,T3538,HOB_muniwaste,0.14488636363636362
baseline,T3538,HOB_natgas,0.1974757281553398
baseline,T3538,HP_ambient,0.025678199529727913
baseline,T3538,HP_industry,0.02437627551020408
baseline,T3538,HR_S-near,0.022969951923076923
baseline,T3538,HR_S-far,0.022969951923076923
baseline,T3538,HR_M-near,0.02049986591579512
baseline,T3538,HR_M-far,0.02049986591579512
baseline,T3538,HR_L-near,0.01852738730004847
baseline,T3538,HR_L-far,0.01852738730004847
baseline,T3658,CHP_coal,0.5880362264150943
baseline,T3658,CHP_muniwaste,0.19480901077375123
baseline,T3658,CHP_natgas,0.5510247349823321
baseline,T3658,HOB_elec,0.027527272727272727
baseline,T3658,HOB_gasoil,0.2589902912621359
baseline,T3658,HOB_muniwaste,0.14488636363636362
baseline,T3658,HOB_natgas,0.1974757281553398
baseline,T3658,HP_ambient,0.00925679347826087
baseline,T3658,HP_industry,0.008690051020408162
baseline,T3658,HR_S-near,0.008188701923076922
baseline,T3658,HR_S-far,0.008188701923076922
baseline,T3658,HR_M-near,0.007308125502815768
baseline,T3658,HR_M-far,0.007308125502815768
baseline,T3658,HR_L-near,0.006604944255937954
baseline,T3658,HR_L-far,0.006604944255937954
baseline,T3778,CHP_coal,0.5880362264150943
baseline,T3778,CHP_muniwaste,0.19480901077375123
baseline,T3778,CHP_natgas,0.5510247349823321
baseline,T3778,HOB_elec,0.032035353535353535
baseline,T3778,HOB_gasoil,0.2589902912621359
baseline,T3778,HOB_muniwaste,0.14488636363636362
baseline,T3778,HOB_natgas,0.1974757281553398
baseline,T3778,HP_ambient,0.009529747596153847
baseline,T3778,HP_industry,0.01001104797979798
baseline,T3778,HR_S-near,0.009427764565992865
baseline,T3778,HR_S-far,0.009427764565992865
baseline,T3778,HR_M-near,0.008416932059447983
baseline,T3778,HR_M-far,0.008416932059447983
baseline,T3778,HR_L-near,0.007605515587529976
baseline,T3778,HR_L-far,0.007605515587529976
baseline,T3898,CHP_coal,0.5880362264150943
baseline,T3898,CHP_muniwaste,0.19480901077375123
baseline,T3898,CHP_natgas,0.5510247349823321
baseline,T3898,HOB_elec,0.021136363636363637
baseline,T3898,HOB_gasoil,0.2589902912621359
baseline,T3898,HOB_muniwaste,0.14488636363636362
baseline,T3898,HOB_natgas,0.1974757281553398
baseline,T3898,HP_ambient,0.006274362818590704
baseline,T3898,HP_industry,0.0066051136363636355
baseline,T3898,HR_S-near,0.0062202734839476815
baseline,T3898,HR_S-far,0.0062202734839476815
baseline,T3898,HR_M-near,0.005553343949044586
baseline,T3898,HR_M-far,0.005553343949044586
baseline,T3898,HR_L-near,0.005017985611510792
baseline,T3898,HR_L-far,0.005017985611510792
baseline,T4018,CHP_coal,0.5880362264150943
baseline,T4018,CHP_muniwaste,0.19480901077375123
baseline,T4018,CHP_natgas,0.5510247349823321
baseline,T4018,HOB_elec,0.029281818181818183
baseline,T4018,HOB_gasoil,0.2589902912621359
baseline,T4018,HOB_muniwaste,0.14488636363636362
baseline,T4018,HOB_natgas,0.1974757281553398
baseline,T4018,HP_ambient,0.008653432835820894
baseline,T4018,HP_industry,0.0090590625
baseline,T4018,HR_S-near,0.008526176470588237
baseline,T4018,HR_S-far,0.008526176470588237
baseline,T4018,HR_M-near,0.00761065896560777
baseline,T4018,HR_M-far,0.00761065896560777
baseline,T4018,HR_L-near,0.006879212149976269
baseline,T4018,HR_L-far,0.006879212149976269
baseline,T4138,CHP_coal,0.5880362264150943
baseline,T4138,CHP_muniwaste,0.19480901077375123
baseline,T4138,CHP_natgas,0.5510247349823321
baseline,T4138,HOB_elec,0.040873737373737375
baseline,T4138,HOB_gasoil,0.2589902912621359
baseline,T4138,HOB_muniwaste,0.14488636363636362
baseline,T4138,HOB_natgas,0.1974757281553398
baseline,T4138,HP_ambient,0.011718795250506805
baseline,T4138,HP_industry,0.0126453125
baseline,T4138,HR_S-near,0.011901470588235295
baseline,T4138,HR_S-far,0.011901470588235295
baseline,T4138,HR_M-near,0.010623523234444735
baseline,T4138,HR_M-far,0.010623523234444735
baseline,T4138,HR_L-near,0.00960251542477456
baseline,T4138,HR_L-far,0.00960251542477456
baseline,T4258,CHP_coal,0.5880362264150943
baseline,T4258,CHP_muniwaste,0.19480901077375123
baseline,T4258,CHP_natgas,0.5510247349823321
